date	sevendayYield	milliongain
20131219	7.447	3.9363
20131220	7.343	1.8882
20131222	7.258	3.7753
20131223	7.224	1.8676
20131224	7.227	1.916
20131225	7.127	1.8693
20131226	7.108	1.8547
20131227	7.296	2.2234
20131229	7.247	3.6876
20131230	7.16	1.712
20131231	7.157	1.9111
20140101	7.196	1.9385
20140102	7.158	1.787
20140103	6.958	1.8662
20140105	6.876	3.5397
20140106	6.905	1.7639
20140107	6.84	1.7949
20140108	6.776	1.8225
20140109	6.779	1.7938
20140110	6.742	1.7996
20140112	6.691	3.4469
20140113	6.703	1.7851
20140114	6.694	1.7798
20140115	6.665	1.7695
20140116	6.656	1.7786
20140117	6.644	1.7779
20140119	6.7	3.5471
20140120	6.685	1.7592
20140121	6.674	1.7595
20140122	6.668	1.7584
20140123	6.658	1.7605
20140124	6.703	1.8583
20140126	6.677	3.5019
20140127	6.658	1.7249
20140128	6.652	1.7487
20140129	6.65	1.7546
20140130	6.636	1.734
20140206	6.466	12.0179
20140207	6.464	1.7133
20140209	6.454	3.4169
20140210	6.454	1.7168
20140211	6.453	1.7144
20140212	6.451	1.7122
20140213	6.455	1.7236
20140214	6.443	1.6914
20140216	6.416	3.3693
20140217	6.394	1.676
20140218	6.361	1.6552
20140219	6.317	1.6339
20140220	6.266	1.6305
20140221	6.287	1.7293
20140223	6.333	3.4528
20140224	6.295	1.6067
20140225	6.258	1.5883
20140226	6.243	1.6079
20140227	6.242	1.6288
20140228	6.181	1.6177
20140302	6.057	3.2287
20140303	6.061	1.614
20140304	6.059	1.5846
20140305	6.038	1.571
20140306	6.016	1.589
20140307	6.019	1.6226
20140309	6.025	3.2394
20140310	6.046	1.6523
20140311	6.083	1.6517
20140312	6.095	1.5918
20140313	6.088	1.5771
20140314	6.136	1.7091
20140316	6.09	3.156
20140317	6.061	1.6008
20140318	6.035	1.604
20140319	6.013	1.5514
20140320	6.004	1.5625
20140321	5.967	1.641
20140323	6.029	3.269
20140324	5.984	1.5187
20140325	5.965	1.5703
20140326	5.953	1.5298
20140327	5.952	1.5593
20140328	5.901	1.5495
20140330	5.803	3.0907
20140331	5.816	1.5432
20140401	5.806	1.5522
20140402	5.816	1.5484
20140403	5.796	1.5229
20140404	5.796	1.5495
20140407	5.796	4.6326
20140408	5.794	1.55
20140409	5.788	1.5366
20140410	5.785	1.5167
20140411	5.758	1.5022
20140413	5.708	2.9965
20140414	5.694	1.52
20140415	5.685	1.5322
20140416	5.689	1.5447
20140417	5.709	1.5527
20140418	5.734	1.5478
20140420	5.785	3.0889
20140421	5.789	1.5269
20140422	5.788	1.5312
20140423	5.766	1.5036
20140424	5.727	1.4822
20140425	5.683	1.4682
20140427	5.596	2.9309
20140428	5.562	1.4659
20140429	5.522	1.458
20140430	5.478	1.4245
20140504	5.365	5.6748
20140505	5.364	1.4635
20140506	5.368	1.4657
20140507	5.396	1.475
20140508	5.431	1.4826
20140509	5.461	1.4737
20140511	5.519	2.9429
20140512	5.522	1.4697
20140513	5.514	1.4506
20140514	5.491	1.433
20140515	5.454	1.4158
20140516	5.415	1.4016
20140518	5.334	2.7964
20140519	5.293	1.3945
20140520	5.257	1.386
20140521	5.218	1.3616
20140522	5.186	1.3575
20140523	5.157	1.3485
20140525	5.1	2.6926
20140526	5.074	1.3458
20140527	5.053	1.348
20140528	5.039	1.3362
20140529	5.025	1.3324
20140530	5.016	1.3321
20140602	4.99	3.9916
20140603	4.981	1.3311
20140604	4.977	1.3293
20140605	4.973	1.325
20140606	4.967	1.3196
20140608	4.952	2.6344
20140609	4.944	1.3152
20140610	4.937	1.3183
20140611	4.931	1.3185
20140612	4.926	1.317
20140613	4.924	1.3157
20140614	4.923	1.3152
20140615	4.922	2.6302
20140616	4.931	1.3318
20140617	4.942	1.3391
20140618	4.957	1.3444
20140619	4.974	1.3492
20140620	4.987	1.339
20140622	5.013	2.678
20140623	5.018	1.3401
20140624	5.016	1.3364
20140625	5.009	1.3314
20140626	5.001	1.3347
20140627	5.004	1.3448
20140629	5.01	2.6888
20140630	5.016	1.3505
20140701	5.091	1.4729
20140702	5.136	1.4151
20140703	5.27	1.5778
20140704	5.265	1.3352
20140706	5.249	2.6607
20140707	5.235	1.324
20140708	5.146	1.3104
20140709	5.082	1.2994
20140710	4.926	1.2931
20140711	4.9	1.2864
20140713	4.838	2.5484
20140714	4.887	1.4127
20140715	4.868	1.277
20140716	4.853	1.2706
20140717	4.839	1.2677
20140718	4.827	1.2656
20140720	4.816	2.528
20140721	4.735	1.2638
