date	sevendayYield	milliongain
20130913	0.0	1.4307
20130918	4.789	1.4404
20130922	5.397	5.7593
20130923	5.396	1.4392
20130924	5.49	1.6121
20130925	5.411	1.2959
20130926	5.448	1.5078
20130927	5.602	1.7193
20130929	5.712	3.0795
20130930	5.788	1.5777
20131007	5.083	9.5098
20131008	5.149	1.4792
20131009	5.19	1.4331
20131010	5.244	1.4583
20131011	5.294	1.4485
20131013	5.382	2.8764
20131014	5.416	1.4211
20131015	5.382	1.4166
20131016	5.368	1.4079
20131017	5.336	1.3994
20131018	5.31	1.4009
20131020	5.259	2.7842
20131021	5.252	1.4078
20131022	5.226	1.3703
20131023	5.201	1.3615
20131024	5.187	1.3743
20131025	5.164	1.3592
20131028	5.099	1.3654
20131029	5.073	1.3231
20131030	5.074	1.3637
20131031	5.097	1.4158
20131101	5.143	1.4442
20131104	5.116	1.3548
20131105	5.156	1.3977
20131106	5.157	1.3641
20131107	5.133	1.3726
20131108	5.101	1.3865
20131110	5.103	2.67
20131111	5.092	1.3343
20131112	5.075	1.3679
20131113	5.076	1.3648
20131114	5.079	1.3781
20131115	5.091	1.4081
20131118	5.144	1.3644
20131119	5.152	1.3826
20131120	5.176	1.4096
20131121	5.201	1.4233
20131122	5.215	1.4339
20131124	5.246	2.7923
20131125	5.296	1.4568
20131126	5.355	1.4892
20131127	5.398	1.4883
20131128	5.443	1.5045
20131129	5.487	1.5149
20131201	5.59	2.9781
20131202	5.6	1.4754
20131203	5.613	1.5129
20131204	5.634	1.5257
20131205	5.655	1.5441
20131206	5.676	1.5526
20131208	5.703	3.0277
20131209	5.724	1.5125
20131210	5.702	1.4739
20131211	5.698	1.517
20131212	5.724	1.5922
20131213	5.756	1.6096
20131215	5.841	3.1822
20131216	5.885	1.5923
20131217	5.97	1.6285
20131218	6.039	1.6418
20131219	6.092	1.6883
20131220	6.159	1.7301
20131222	6.272	3.3856
20131223	6.342	1.7192
20131224	6.423	1.7739
20131225	6.481	1.7472
20131226	6.523	1.7633
20131227	6.584	1.8406
20131229	6.639	3.4841
20131230	6.642	1.7241
20131231	6.716	1.9079
20140101	6.7	1.7185
20140102	6.703	1.7693
20140103	6.672	1.7844
20140105	6.698	3.5312
20140106	6.719	1.762
20140107	6.639	1.7628
20140108	6.662	1.7605
20140109	6.66	1.7658
20140110	6.643	1.7534
20140112	6.626	3.5004
20140113	6.615	1.7427
20140114	6.598	1.7322
20140115	6.576	1.7203
20140116	6.552	1.7237
20140117	6.537	1.7261
20140119	6.507	3.4454
20140120	6.494	1.7194
20140121	6.488	1.7211
20140122	6.49	1.7237
20140123	6.489	1.7221
20140124	6.49	1.7282
20140126	6.49	3.4466
20140127	6.496	1.7303
20140128	6.512	1.7494
20140129	6.534	1.7632
20140130	6.538	1.7291
20140206	6.45	11.989
20140207	6.449	1.7115
20140209	6.448	3.422
20140210	6.445	1.7068
20140211	6.44	1.7049
20140212	6.427	1.6898
20140213	6.412	1.6853
20140214	6.394	1.6786
20140216	6.353	3.3473
20140217	6.332	1.669
20140218	6.302	1.6519
20140219	6.274	1.6388
20140220	6.238	1.6199
20140223	6.133	3.2224
20140224	6.099	1.6084
20140225	6.064	1.5872
20140226	6.034	1.585
20140227	6.008	1.5722
20140302	5.934	3.1348
20140303	5.906	1.5578
20140304	5.879	1.5379
20140305	5.842	1.5187
20140306	5.803	1.5001
20140307	5.753	1.4786
20140309	5.649	2.9461
20140310	5.6	1.4699
20140311	5.558	1.4609
20140312	5.515	1.4403
20140313	5.476	1.4288
20140314	5.445	1.423
20140316	5.388	2.8417
20140317	5.353	1.4069
20140318	5.32	1.4013
20140319	5.293	1.3898
20140320	5.43	1.6787
20140321	5.41	1.3869
20140324	5.359	1.3816
20140325	5.348	1.3826
20140326	5.494	1.6552
20140327	5.324	1.3697
20140328	5.319	1.3766
20140331	5.471	1.6775
20140401	5.491	1.4191
20140402	5.338	1.3769
20140403	5.328	1.3513
20140404	5.308	1.3399
20140407	5.069	3.9958
20140408	5.02	1.3296
20140409	4.991	1.3256
20140410	5.035	1.4316
20140411	5.089	1.4372
20140413	5.1	2.6843
20140414	5.091	1.316
20140415	5.104	1.3533
20140416	5.116	1.3467
20140417	5.062	1.3333
20140418	5.106	1.5177
20140420	5.049	2.5801
20140421	5.071	1.3553
20140422	5.141	1.4822
20140423	5.107	1.2834
20140424	5.053	1.2348
20140425	5.031	1.479
20140427	4.976	2.4787
20140428	5.014	1.4255
20140429	4.992	1.4421
20140430	5.092	1.4662
20140504	4.958	4.9472
20140505	4.945	1.4008
20140506	4.824	1.2221
20140507	4.721	1.2768
20140508	4.736	1.2648
20140509	4.762	1.2851
20140511	4.724	2.404
20140512	4.648	1.2602
20140513	4.661	1.2472
20140514	4.646	1.2479
20140515	4.706	1.3751
20140516	4.697	1.2682
20140518	4.705	2.4199
