date	sevendayYield	milliongain
20130530	2.093	1.1349
20130602	2.665	3.6037
20130603	2.728	0.8201
20130604	2.772	0.82
20130605	3.023	0.82
20130606	3.043	0.8199
20130607	3.041	0.8193
20130612	3.035	4.0948
20130613	3.234	1.1907
20130614	3.484	1.2829
20130616	3.981	2.5566
20130617	4.338	1.4768
20130618	4.676	1.4387
20130619	4.968	1.3535
20130620	5.096	1.4237
20130621	5.222	1.5131
20130623	5.419	2.9152
20130624	5.467	1.565
20130625	5.658	1.7863
20130626	5.86	1.7198
20130627	5.991	1.6592
20130628	6.084	1.6823
20130630	6.299	3.3039
20130701	6.307	1.5787
20130702	6.174	1.5461
20130703	6.034	1.467
20130704	5.903	1.4223
20130705	5.739	1.3845
20130707	5.425	2.7345
20130708	5.279	1.3129
20130709	5.15	1.3096
20130710	5.047	1.2792
20130711	4.959	1.2616
20130712	4.884	1.2487
20130714	4.745	2.4789
20130715	4.682	1.1985
20130716	4.634	1.2214
20130717	4.582	1.1829
20130718	4.543	1.1896
20130719	4.518	1.2032
20130721	4.471	2.3926
20130722	4.447	1.1547
20130723	4.426	1.1826
20130724	4.424	1.1805
20130725	4.411	1.1645
20130726	4.397	1.1777
20130728	4.371	2.3454
20130729	4.369	1.1515
20130730	4.377	1.1958
20130731	4.392	1.2088
20130801	4.413	1.2026
20130802	4.437	1.222
20130804	4.483	2.4306
20130805	4.503	1.1875
20130806	4.507	1.204
20130807	4.509	1.2118
20130808	4.516	1.2155
20130809	4.513	1.2174
20130811	4.511	2.4254
20130812	4.511	1.1886
20130813	4.517	1.2143
20130814	4.521	1.2201
20130815	4.523	1.2184
20130816	4.524	1.219
20130818	4.526	2.4298
20130819	4.532	1.1987
20130820	4.54	1.2288
20130821	4.545	1.2307
20130822	4.546	1.2187
20130823	4.548	1.2236
20130825	4.554	2.4407
20130826	4.546	1.185
20130827	4.538	1.2131
20130828	4.528	1.213
20130829	4.583	1.3194
20130830	4.686	1.4113
20130901	4.685	2.44
20130902	4.829	1.4475
20130903	4.84	1.2339
20130904	4.852	1.2349
20130905	4.807	1.2374
20130906	4.859	1.5058
20130908	4.88	2.4796
20130909	4.876	1.44
20130910	4.979	1.4214
20130911	4.989	1.2527
20130912	5.001	1.2598
20130913	4.932	1.3805
20130915	4.956	2.5224
20130916	4.942	1.4143
20130917	4.848	1.2495
20130918	4.894	1.3366
20130922	4.822	5.0322
20130923	4.724	1.2346
20130924	4.767	1.3281
20130925	4.796	1.3895
20130926	4.897	1.4449
20130927	4.963	1.3799
20130929	5.026	2.6273
20130930	5.07	1.3162
20131007	4.919	9.2107
20131008	5.006	1.4756
20131009	4.992	1.2935
20131010	4.987	1.3088
20131011	4.985	1.3122
20131012	4.98	1.3082
20131013	4.978	1.308
20131014	4.96	1.2777
20131015	4.889	1.3456
20131016	4.899	1.313
20131017	4.889	1.2908
20131018	4.878	1.2917
20131019	4.866	1.2859
20131021	4.888	1.34
20131022	4.846	1.2698
20131023	4.825	1.273
20131024	4.819	1.2811
20131025	4.811	1.2758
20131026	4.804	1.2731
20131027	4.797	1.2729
20131028	4.743	1.2428
20131029	4.754	1.289
20131030	4.763	1.2902
20131031	4.772	1.2965
20131101	4.781	1.2919
20131102	4.79	1.2911
20131103	4.8	1.291
20131104	4.825	1.2888
20131105	4.828	1.2938
20131106	4.829	1.2917
20131107	4.827	1.2935
20131108	4.827	1.292
20131109	4.826	1.2891
20131111	4.938	1.4962
20131112	5.028	1.4577
20131113	5.093	1.4097
20131114	5.112	1.3294
20131115	5.212	1.4738
20131116	5.224	1.3102
20131117	5.235	1.31
20131118	5.139	1.321
20131119	5.073	1.3377
20131120	5.033	1.3352
20131121	5.041	1.3442
20131122	4.973	1.3502
20131123	4.993	1.3469
20131125	5.035	1.361
20131126	5.057	1.3774
20131127	5.079	1.3755
20131128	5.102	1.3862
20131129	5.123	1.3879
20131130	5.145	1.3878
20131202	5.182	1.3882
20131203	5.194	1.399
20131204	5.207	1.3982
20131205	5.216	1.4025
20131206	5.214	1.3848
20131207	5.211	1.3815
20131209	5.226	1.4227
20131210	5.241	1.4271
20131211	5.253	1.42
20131212	5.288	1.4663
20131213	5.325	1.4527
20131214	5.363	1.4493
20131215	5.4	2.8983
20131216	5.43	1.4771
20131217	5.444	1.4532
20131218	5.463	1.4542
20131219	5.491	1.5167
20131220	5.524	1.513
20131222	5.592	3.0216
20131223	5.67	1.6189
20131224	5.757	1.611
20131225	5.893	1.7012
20131226	6.032	1.7674
20131227	6.192	1.803
20131229	6.5	3.5775
20131230	6.598	1.7947
20131231	6.696	1.7869
20140101	6.74	1.7807
20140102	6.763	1.8092
20140103	6.753	1.7847
20140105	6.738	3.5499
20140106	6.726	1.774
20140107	6.738	1.8086
20140108	6.761	1.822
20140109	6.737	1.7647
20140110	6.738	1.7878
20140112	6.703	3.4873
20140113	6.695	1.7584
20140114	6.67	1.7634
20140115	6.618	1.7295
20140116	6.595	1.723
20140117	6.554	1.7139
20140119	6.48	3.3539
20140120	6.46	1.7235
20140121	6.423	1.6958
20140122	6.398	1.6853
20140123	6.413	1.7491
20140124	6.422	1.7296
20140126	6.434	3.3765
20140127	6.416	1.6915
20140128	6.441	1.7398
20140129	6.432	1.6693
20140130	6.36	1.6193
20140206	6.044	11.2558
20140207	6.096	1.7017
20140209	6.174	3.3586
20140210	6.225	1.7004
20140211	6.263	1.677
20140212	6.298	1.6702
20140213	6.334	1.6705
20140214	6.311	1.661
20140216	6.286	3.3128
20140217	6.259	1.6526
20140218	6.241	1.6433
20140219	6.22	1.6337
20140220	6.201	1.6358
20140221	6.183	1.6282
20140223	6.147	3.2485
20140224	6.136	1.6323
20140225	6.114	1.6039
20140226	6.093	1.596
20140227	6.062	1.5792
20140228	6.031	1.572
20140302	5.971	3.1394
20140303	5.928	1.5559
20140304	5.895	1.5429
20140305	5.864	1.5411
20140306	5.835	1.5259
20140307	5.805	1.517
20140309	5.744	3.0293
20140310	5.716	1.5048
20140311	5.69	1.4965
20140312	5.668	1.4997
20140313	5.647	1.4878
20140314	5.628	1.4831
20140316	5.592	2.9635
20140317	5.568	1.4628
20140318	5.555	1.4726
20140319	5.544	1.4786
20140320	5.538	1.4772
20140321	5.535	1.4787
20140324	5.511	1.4542
20140325	5.496	1.446
20140326	5.472	1.4345
20140327	5.445	1.4273
20140328	5.415	1.4255
20140331	5.361	1.431
20140401	5.356	1.4368
20140402	5.357	1.437
20140403	5.362	1.4364
20140404	5.367	1.4338
20140407	5.373	4.2943
20140408	5.368	1.4263
20140409	5.36	1.4239
20140410	5.351	1.4202
20140411	5.339	1.4106
20140413	5.315	2.8196
20140414	5.3	1.4048
20140415	5.287	1.4022
20140416	5.272	1.3958
20140417	5.253	1.3866
20140418	5.239	1.3841
20140420	5.21	2.7665
20140421	5.2	1.3866
20140422	5.188	1.3813
20140423	5.171	1.3654
20140424	5.152	1.3515
